"","X","workerid","complete_sentence","segment4","condition","seg3","seg4","seg5","seg6","seg7","seg8","seg9","seg10","seg11","seg12"
"1",1,0,"""Brian had hired several new people to work at his restaurant.The chef asked him whether any would work in the kitchen.Brian said that only some of them would.He addedthatthe restwould beserversin the dining room.""",""" only some of them """,""" any """,6.30261897574491,5.66988092298052,6.00388706710654,5.73657229747919,6.04737217904628,5.56452040732269,5.62762111369064,5.83188247728352,6.2363695902037,NA
"2",2,0,"""Paul and Deb were trying to decide which gym to go to.Paul asked Deb whether any had discounts for college students.Deb said that only some of them did.She addedthatthe restwould beatfull price.""",""" only some of them """,""" any """,6.80461452006262,5.99146454710798,5.91889385427315,6.06842558824411,5.82304589548302,6.14846829591765,5.74939298590825,5.66642668811243,6.08904487544685,NA
"3",3,0,"""Ed and Hillary were considering several universities for grad school.Hillary asked Ed whether all were very competitive in admissions.Ed said that some of them were.He addedthatthe restwould beeasyto get into.""",""" some of them """,""" all """,6.60123011872888,5.8664680569333,6.21860011969173,6.1779441140506,6.11146733950268,5.86078622346587,6.16331480403464,6.11589212548303,6.22059017009974,NA
"4",4,0,"""Dr. Jones was scheduling end-of-semester meetings.The secretary asked him whether all would be in the afternoon.Dr. Jones said that only some of them would.He addedthatthe restwould beearlyin the morning.""",""" only some of them """,""" all """,6.07993319509559,6.22257626807137,6.15697898558556,6.12468339089421,6.04025471127741,5.68697535633982,5.68017260901707,5.93224518744801,6.24804287450843,NA
"5",5,0,"""Abby was taking her mom to meet her roommates.Her mom asked Abby whether any would be home right now.Abby said that some of them would.She addedthatthe restwould beat workor in class.""",""" some of them """,""" any """,6.6052979209482,6.11368217983223,5.59471137960184,5.56068163101553,5.95842469302978,5.8636311755981,6.32435896238131,5.73334127689775,5.64190707093811,NA
"6",6,0,"""The clothing store just received a shipment of jeans.Jared asked Erica whether any should be displayed out front.Erica said that  only some of them should.She addedthatthe restwould bekeptin the backfor now.""",""" only some of them """,""" any """,6.63463335786169,6.18208490671663,6.12905021006055,6.07073772800249,5.41164605185504,5.39362754635236,5.36597601502185,5.28320372873799,6.24222326545517,6.11809719804135
"7",7,0,"""Jenna and Alex were making cupcakes.Jenna asked Alex whether all were ready to be frosted.Alex said that some of them were.He addedthatthe restwould bereadysoon.""",""" some of them """,""" all """,6.4723462945009,5.7268477475872,5.53733426701854,5.605802066296,5.70711026474888,5.61677109766657,5.52146091786225,5.67675380226828,6.18620862390049,NA
"8",8,0,"""The rock band was choosing cities to visit on their next tour.They asked their manager Mary whether any would have good venues available.Mary said that some of them would.She added thatthe restwould bebookedduring the tour.""",""" some of them """,""" any """,5.82008293035236,6.02102334934953,5.4553211153577,5.43372200355424,5.42053499927229,5.50938833662798,5.73657229747919,5.39362754635236,5.51745289646471,NA
"9",9,0,"""Tracy and Mark were trying to choose a restaurant downtown for their rehearsal dinner.Mark asked Tracy whether any were open on the weekends.Tracy said that only some of them were.She addedthatthe restwould beclosedat that time.""",""" only some of them """,""" any """,6.47850964220857,5.79301360838414,5.63121178182137,5.55682806169954,5.47646355193151,5.4971682252932,5.50938833662798,5.24702407216049,5.66642668811243,NA
"10",10,0,"""Arthur had set up tables for the garage sale..Sarah asked him whether all would display the nice dishes.Arthur said that some of them would.He addedthatthe restwould betoounstable.""",""" some of them """,""" all """,6.5694814204143,5.62401750618734,5.46383180502561,6.07993319509559,5.77144112313002,5.50533153593236,6.0913098820777,5.71373280550937,6.15060276844628,NA
